book,author,birthYear,bookLabel,authorLabel,authorLast
http://www.wikidata.org/entity/Q117450610,http://www.wikidata.org/entity/Q45546,1770,Poems,William Wordsworth,Wordsworth
http://www.wikidata.org/entity/Q117458723,http://www.wikidata.org/entity/Q2978887,1779,Poems,Clement Clarke Moore,Moore
http://www.wikidata.org/entity/Q117486968,http://www.wikidata.org/entity/Q5648827,1788,Poems,Hannah Flagg Gould,Gould
http://www.wikidata.org/entity/Q117748698,http://www.wikidata.org/entity/Q3664258,1835,Poems,Celia Thaxter,Thaxter
http://www.wikidata.org/entity/Q120177616,http://www.wikidata.org/entity/Q71456,1748,Poems,Ludwig Christoph Heinrich Hölty,Hölty
http://www.wikidata.org/entity/Q124090548,http://www.wikidata.org/entity/Q1444002,1834,The Vizier of the Two-Horned Alexander,Frank R. Stockton,Stockton
http://www.wikidata.org/entity/Q28401667,http://www.wikidata.org/entity/Q453577,1867,Joe Wilson and His Mates,Henry Lawson,Lawson
http://www.wikidata.org/entity/Q124098237,http://www.wikidata.org/entity/Q548040,1863,The Middle Temple Murder,J. S. Fletcher,Fletcher
http://www.wikidata.org/entity/Q4744113,http://www.wikidata.org/entity/Q2668090,1876,American Indian Stories,Zitkala-Sa,Zitkala-Sa
http://www.wikidata.org/entity/Q19086299,http://www.wikidata.org/entity/Q326467,1814,The Evil Guest,Sheridan Le Fanu,Fanu
http://www.wikidata.org/entity/Q121085916,http://www.wikidata.org/entity/Q56349800,,Autobiography,Acilius Severus,Severus
http://www.wikidata.org/entity/Q17014370,http://www.wikidata.org/entity/Q725686,1964,Autobiography,David Morrissey,Morrissey
http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q50020,1806,Autobiography,John Stuart Mill,Mill
http://www.wikidata.org/entity/Q25409002,http://www.wikidata.org/entity/Q183167,1874,Autobiography,G. K. Chesterton,Chesterton
http://www.wikidata.org/entity/Q121085916,http://www.wikidata.org/entity/Q56349800,340,Autobiography,Acilius Severus,Severus
http://www.wikidata.org/entity/Q3136618,http://www.wikidata.org/entity/Q535,1802,The History of a Crime,Victor Hugo,Hugo
http://www.wikidata.org/entity/Q48816236,http://www.wikidata.org/entity/Q5423943,1894,Style,F. L. Lucas,Lucas
http://www.wikidata.org/entity/Q4688855,http://www.wikidata.org/entity/Q3098317,1893,Affairs of State,Louis Verneuil,Verneuil
http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828,Around the World in Eighty Days,Jules Verne,Verne
http://www.wikidata.org/entity/Q117831337,http://www.wikidata.org/entity/Q559017,1922,Love,Chairil Anwar,Anwar
http://www.wikidata.org/entity/Q3614534,http://www.wikidata.org/entity/Q72334,1931,Love,Toni Morrison,Morrison
http://www.wikidata.org/entity/Q6690244,http://www.wikidata.org/entity/Q234519,1940,Love,Angela Carter,Carter
http://www.wikidata.org/entity/Q11981030,http://www.wikidata.org/entity/Q299347,1969,Love,Hanne Ørstavik,Ørstavik
http://www.wikidata.org/entity/Q19180131,http://www.wikidata.org/entity/Q5685,1860,Love,Anton Chekhov,Chekhov
