,author,birthYear,authorLabel,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,deathYear
1,http://www.wikidata.org/entity/Q41502,1846,Henryk Sienkiewicz,male,Poland,Catholic Church,Polish,1916
0,http://www.wikidata.org/entity/Q115822,1743,Johann David Wyss,male,Switzerland,Protestantism,,1818
0,http://www.wikidata.org/entity/Q33866,1858,Theodore Roosevelt,male,United States of America,Continental Reformed Protestantism,American English,1919
1,http://www.wikidata.org/entity/Q33866,1858,Theodore Roosevelt,male,United States of America,Episcopal Church,American English,1919
2,http://www.wikidata.org/entity/Q33866,1858,Theodore Roosevelt,male,United States of America,Anglicanism,American English,1919
0,http://www.wikidata.org/entity/Q326138,1862,Marcel Prévost,male,France,,French,1941
0,http://www.wikidata.org/entity/Q216904,1834,Aleksis Kivi,male,Finland,,,1872
0,http://www.wikidata.org/entity/Q510258,1883,Sax Rohmer,male,United Kingdom,,,1959
0,http://www.wikidata.org/entity/Q38337,1802,Alexandre Dumas,male,France,,French,1870
0,http://www.wikidata.org/entity/Q258741,1820,Anna Sewell,female,United Kingdom,,English,1878
1,http://www.wikidata.org/entity/Q258741,1820,Anna Sewell,female,United Kingdom,,English,1878
0,http://www.wikidata.org/entity/Q82006,1804,Benjamin Disraeli,male,United Kingdom of Great Britain and Ireland,Christianity,,1881
1,http://www.wikidata.org/entity/Q82006,1804,Benjamin Disraeli,male,United Kingdom of Great Britain and Ireland,Judaism,,1881
2,http://www.wikidata.org/entity/Q82006,1804,Benjamin Disraeli,male,United Kingdom of Great Britain and Ireland,Anglicanism,,1881
0,http://www.wikidata.org/entity/Q3611689,1847,Alice Meynell,female,United Kingdom of Great Britain and Ireland,Catholic Church,,1922
0,http://www.wikidata.org/entity/Q1131497,1863,May Sinclair,female,United Kingdom,,,1946
1,http://www.wikidata.org/entity/Q1131497,1870,May Sinclair,female,United Kingdom,,,1946
0,http://www.wikidata.org/entity/Q81796,1860,J. M. Barrie,male,United Kingdom,,English,1937
1,http://www.wikidata.org/entity/Q81796,1860,J. M. Barrie,male,United Kingdom of Great Britain and Ireland,,English,1937
0,http://www.wikidata.org/entity/Q3889326,1855,Stanley J. Weyman,male,United Kingdom,,,1928
1,http://www.wikidata.org/entity/Q3889326,1855,Stanley J. Weyman,male,United Kingdom of Great Britain and Ireland,,,1928
0,http://www.wikidata.org/entity/Q366805,1670,William Congreve,male,Kingdom of Great Britain,,,1729
0,http://www.wikidata.org/entity/Q2603993,1807,Albert Mackey,male,United States of America,,,1881
0,http://www.wikidata.org/entity/Q38082,1832,Lewis Carroll,male,England,Anglicanism,British English,1898
1,http://www.wikidata.org/entity/Q38082,1832,Lewis Carroll,male,United Kingdom of Great Britain and Ireland,Anglicanism,British English,1898
0,http://www.wikidata.org/entity/Q294181,1846,Comte de Lautréamont,male,Uruguay,,Spanish,1870
1,http://www.wikidata.org/entity/Q294181,1846,Comte de Lautréamont,male,France,,Spanish,1870
0,http://www.wikidata.org/entity/Q37030,1875,Thomas Mann,male,Nazi Germany,Lutheranism,German,1955
1,http://www.wikidata.org/entity/Q37030,1875,Thomas Mann,male,Czechoslovakia,Lutheranism,German,1955
2,http://www.wikidata.org/entity/Q37030,1875,Thomas Mann,male,Weimar Republic,Lutheranism,German,1955
3,http://www.wikidata.org/entity/Q37030,1875,Thomas Mann,male,German Empire,Lutheranism,German,1955
0,http://www.wikidata.org/entity/Q433098,1823,Charlotte Mary Yonge,female,United Kingdom of Great Britain and Ireland,Catholic Church,,1901
0,http://www.wikidata.org/entity/Q1512,1850,Robert Louis Stevenson,male,United Kingdom,Presbyterianism,English,1894
1,http://www.wikidata.org/entity/Q1512,1850,Robert Louis Stevenson,male,United Kingdom of Great Britain and Ireland,Presbyterianism,English,1894
0,http://www.wikidata.org/entity/Q214565,1866,Beatrix Potter,female,London,,English,1943
1,http://www.wikidata.org/entity/Q214565,1866,Beatrix Potter,female,United Kingdom,,English,1943
0,http://www.wikidata.org/entity/Q1700884,1811,John Lort Stokes,male,United Kingdom of Great Britain and Ireland,,,1885
0,http://www.wikidata.org/entity/Q215724,1809,Heinrich Hoffmann,male,Kingdom of Prussia,,German,1894
0,http://www.wikidata.org/entity/Q1385758,1863,W. W. Jacobs,male,United Kingdom,,,1943
1,http://www.wikidata.org/entity/Q1385758,1863,W. W. Jacobs,male,United Kingdom of Great Britain and Ireland,,,1943
0,http://www.wikidata.org/entity/Q315003,1830,Hector Malot,male,France,,French,1907
0,http://www.wikidata.org/entity/Q952452,1851,Mary Augusta Ward,female,United Kingdom of Great Britain and Ireland,Unitarianism,,1920
0,http://www.wikidata.org/entity/Q1246814,1837,Edward Eggleston,male,United States of America,Methodism,,1902
0,http://www.wikidata.org/entity/Q1507549,1854,George Francis Robert Henderson,male,United Kingdom of Great Britain and Ireland,,,1903
0,http://www.wikidata.org/entity/Q1035,1809,Charles Darwin,male,United Kingdom of Great Britain and Ireland,agnosticism,English language in England,1882
1,http://www.wikidata.org/entity/Q1035,1809,Charles Darwin,male,United Kingdom of Great Britain and Ireland,Anglicanism,English language in England,1882
0,http://www.wikidata.org/entity/Q1399,1469,Niccolò Machiavelli,male,Republic of Florence,Catholicism,,1527
0,http://www.wikidata.org/entity/Q670179,1854,Francis Marion Crawford,male,United States of America,,,1909
0,http://www.wikidata.org/entity/Q5362696,1823,Elizabeth Drew Stoddard,female,United States of America,,,1902
0,http://www.wikidata.org/entity/Q5478699,1825,Frances Ellen Watkins Harper,female,United States of America,,,1911
0,http://www.wikidata.org/entity/Q183713,1811,Théophile Gautier,male,France,,,1872
0,http://www.wikidata.org/entity/Q4944529,1881,Ethel M. Dell,female,United Kingdom,,,1939
1,http://www.wikidata.org/entity/Q4944529,1881,Ethel M. Dell,female,United Kingdom of Great Britain and Ireland,,,1939
2,http://www.wikidata.org/entity/Q4944529,1881,Ethel M. Dell,female,United Kingdom,,,1939
3,http://www.wikidata.org/entity/Q4944529,1881,Ethel M. Dell,female,United Kingdom of Great Britain and Ireland,,,1939
0,http://www.wikidata.org/entity/Q37103,1820,Florence Nightingale,female,United Kingdom of Great Britain and Ireland,Anglicanism,,1910
0,http://www.wikidata.org/entity/Q40909,1882,Virginia Woolf,female,United Kingdom,atheism,English,1941
0,http://www.wikidata.org/entity/Q540427,1880,Lytton Strachey,male,United Kingdom,,,1932
0,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,United States of America,atheism,Russian,1982
1,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,Russian Soviet Federative Socialist Republic,atheism,Russian,1982
2,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,Soviet Union,atheism,Russian,1982
3,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,Russian Empire,atheism,Russian,1982
4,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,Russian Republic,atheism,Russian,1982
5,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,statelessness,atheism,Russian,1982
6,http://www.wikidata.org/entity/Q132524,1905,Ayn Rand,female,Russian Socialist Federative Soviet Republic,atheism,Russian,1982
0,http://www.wikidata.org/entity/Q3816,1804,George Sand,female,France,Catholicism,French,1876
0,http://www.wikidata.org/entity/Q7647785,1782,Susan Edmonstone Ferrier,female,Kingdom of Great Britain,,,1854
1,http://www.wikidata.org/entity/Q7647785,1782,Susan Edmonstone Ferrier,female,United Kingdom of Great Britain and Ireland,,,1854
0,http://www.wikidata.org/entity/Q536012,1874,Myrtle Reed,female,United States of America,,,1911
0,http://www.wikidata.org/entity/Q283496,1885,Edna Ferber,female,United States of America,,,1968
1,http://www.wikidata.org/entity/Q283496,1885,Edna Ferber,female,United States of America,,,1968
0,http://www.wikidata.org/entity/Q5673,1805,Hans Christian Andersen,male,Denmark–Norway,Lutheranism,Danish,1875
1,http://www.wikidata.org/entity/Q5673,1805,Hans Christian Andersen,male,Kingdom of Denmark,Lutheranism,Danish,1875
0,http://www.wikidata.org/entity/Q439204,1880,H. L. Mencken,male,United States of America,atheism,,1956
0,http://www.wikidata.org/entity/Q6701,1785,Jacob Grimm,male,Kingdom of Prussia,Catholic Church,German,1863
1,http://www.wikidata.org/entity/Q6701,1785,Jacob Grimm,male,Electorate of Hesse,Catholic Church,German,1863
0,http://www.wikidata.org/entity/Q79025,1771,Walter Scott,male,United Kingdom,,English,1832
1,http://www.wikidata.org/entity/Q79025,1771,Walter Scott,male,Kingdom of Great Britain,,English,1832
0,http://www.wikidata.org/entity/Q191050,1842,Ambrose Bierce,male,United States of America,Christian,,1914
0,http://www.wikidata.org/entity/Q6261044,1840,John Torrey Morse,male,United States of America,,,1937
0,http://www.wikidata.org/entity/Q561408,1785,Thomas Love Peacock,male,United Kingdom of Great Britain and Ireland,,,1866
0,http://www.wikidata.org/entity/Q468247,1868,Edgar Lee Masters,male,United States of America,,,1950
0,http://www.wikidata.org/entity/Q351705,1808,Henrik Wergeland,male,Norway,Lutheranism,,1845
0,http://www.wikidata.org/entity/Q192927,1726,James Hutton,male,Kingdom of Great Britain,,English,1797
0,http://www.wikidata.org/entity/Q334839,1869,Joseph Franklin Rutherford,male,United States of America,,,1942
0,http://www.wikidata.org/entity/Q382786,1865,Alfred Edward Woodley Mason,male,United Kingdom,,,1948
1,http://www.wikidata.org/entity/Q382786,1865,Alfred Edward Woodley Mason,male,United Kingdom of Great Britain and Ireland,,,1948
0,http://www.wikidata.org/entity/Q43444,1821,Gustave Flaubert,male,France,Catholic Church,,1880
0,http://www.wikidata.org/entity/Q322871,1863,Arthur Quiller-Couch,male,United Kingdom,,,1944
1,http://www.wikidata.org/entity/Q322871,1863,Arthur Quiller-Couch,male,United Kingdom of Great Britain and Ireland,,,1944
0,http://www.wikidata.org/entity/Q1092762,1869,Johannes Linnankoski,male,Grand Principality of Finland,,,1913
0,http://www.wikidata.org/entity/Q1293795,1862,Edward Stratemeyer,male,United States of America,,,1930
0,http://www.wikidata.org/entity/Q467770,1792,Frederick Marryat,male,Kingdom of Great Britain,,English,1848
1,http://www.wikidata.org/entity/Q467770,1792,Frederick Marryat,male,United Kingdom of Great Britain and Ireland,,English,1848
0,http://www.wikidata.org/entity/Q1281119,1860,Owen Wister,male,United States of America,,,1938
0,http://www.wikidata.org/entity/Q8005600,1824,William Blades,male,United Kingdom of Great Britain and Ireland,,,1890
0,http://www.wikidata.org/entity/Q314993,1864,Maurice Leblanc,male,France,,French,1941
1,http://www.wikidata.org/entity/Q314993,1864,Maurice Leblanc,male,France,,French,1941
0,http://www.wikidata.org/entity/Q34743,1865,Rudyard Kipling,male,United Kingdom,,English,1936
1,http://www.wikidata.org/entity/Q34743,1865,Rudyard Kipling,male,United Kingdom of Great Britain and Ireland,,English,1936
