,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
407,PG48675,,Cassell's book of birds; vol. 1,"Brehm, Alfred Edmund",1829,1884,['en'],54,{'Birds'},,Cassell's book of birds,Brehm,http://www.wikidata.org/entity/Q51452905,http://www.wikidata.org/entity/Q155112,1829,Alfred Brehm,Q51452905,Q155112
408,PG48679,,Taras Bulba: Kertomus kasakkavallan mahtavuuden ajoilta,"Gogol, Nikolai Vasilevich",1809,1852,['fi'],11,"{'Ukraine -- Fiction', 'Cossacks -- Fiction'}",,Taras Bulba,Gogol,http://www.wikidata.org/entity/Q1250822,http://www.wikidata.org/entity/Q43718,1809,Nikolai Gogol,Q1250822,Q43718
409,PG48725,,Colomba: Kertomus Korsikan oloista 1810-luvulta,"Mérimée, Prosper",1803,1870,['fi'],11,"{'Murder -- Fiction', 'Revenge -- Fiction', 'Vendetta -- Fiction', 'Corsica (France) -- History -- 19th century -- Fiction'}",,Colomba,Mérimée,http://www.wikidata.org/entity/Q2984121,http://www.wikidata.org/entity/Q160333,1803,Prosper Mérimée,Q2984121,Q160333
410,PG48731,,"Les Misérables, v. 1/5: Fantine","Hugo, Victor",1802,1885,['en'],317,"{'Ex-convicts -- Fiction', 'Orphans -- Fiction', 'Epic literature', 'Historical fiction', 'Paris (France) -- Fiction'}",,Les Misérables,Hugo,http://www.wikidata.org/entity/Q180736,http://www.wikidata.org/entity/Q535,1802,Victor Hugo,Q180736,Q535
435,PG48749,,Liliom: A Legend in Seven Scenes and a Prologue,"Molnár, Ferenc",1878,1952,['en'],125,"{'Purgatory -- Drama', 'Hungarian drama -- Translations into English', 'Hungary -- Drama'}",,Liliom,Molnár,http://www.wikidata.org/entity/Q1248248,http://www.wikidata.org/entity/Q296809,1878,Ferenc Molnár,Q1248248,Q296809
436,PG48758,,"France and England in North America, Part VII, Vol 2: A Half-Century of Conflict","Parkman, Francis",1823,1893,['en'],100,"{'United States -- History -- Colonial period, ca. 1600-1775', 'Canada -- History -- To 1763 (New France)'}",,France and England in North America,Parkman,http://www.wikidata.org/entity/Q5478317,http://www.wikidata.org/entity/Q1340161,1823,Francis Parkman,Q5478317,Q1340161
440,PG48778,,The Sea Fairies,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],233,"{'Voyages, Imaginary', 'Fantasy literature', 'Sea stories', 'Fairies -- Juvenile fiction', 'Mermaids -- Juvenile fiction', 'Sea monsters -- Juvenile fiction'}",,The Sea Fairies,Baum,http://www.wikidata.org/entity/Q7762755,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q7762755,Q207544
441,PG48788,,On a Chinese Screen,"Maugham, W. Somerset (William Somerset)",1874,1965,['en'],153,"{'Maugham, W. Somerset (William Somerset), 1874-1965 -- Travel -- China', 'Authors, English -- 20th century -- Biography', 'China -- Description and travel'}",,On a Chinese Screen,Maugham,http://www.wikidata.org/entity/Q17018103,http://www.wikidata.org/entity/Q134942,1874,William Somerset Maugham,Q17018103,Q134942
442,PG48813,,The Black Diamond,"Young, Francis Brett",1884,1954,['en'],23,"{'England -- Fiction', 'Man-woman relationships -- Fiction', 'Coal miners -- Fiction'}",,The Black Diamond,Young,http://www.wikidata.org/entity/Q97573376,http://www.wikidata.org/entity/Q1235328,1884,Francis Brett Young,Q97573376,Q1235328
443,PG48865,,"The Family among the Australian Aborigines, a Sociological Study","Malinowski, Bronislaw",1884,1942,['en'],101,"{'Ethnology -- Australia', 'Families -- History', 'Aboriginal Australians -- Social life and customs'}",,The Family among the Australian Aborigines,Malinowski,http://www.wikidata.org/entity/Q108415216,http://www.wikidata.org/entity/Q184992,1884,Bronisław Malinowski,Q108415216,Q184992
444,PG48893,,"Mademoiselle de Maupin, Volume 1 (of 2)","Gautier, Théophile",1811,1872,['en'],169,{'French fiction -- Translations into English'},,Mademoiselle de Maupin,Gautier,http://www.wikidata.org/entity/Q3275960,http://www.wikidata.org/entity/Q183713,1811,Théophile Gautier,Q3275960,Q183713
449,PG48961,,En piga bland pigor,"Nordström, Ester Blenda",1891,1948,['sv'],65,"{'Household employees -- Sweden', 'Farm life -- Sweden'}",,En piga bland pigor,Nordström,http://www.wikidata.org/entity/Q10483435,http://www.wikidata.org/entity/Q4970156,1891,Ester Blenda Nordström,Q10483435,Q4970156
450,PG48962,,Anno 7603: Skuespil i 6 Acter,"Wessel, Johan Herman",1742,1785,['da'],25,{'Drama'},,Anno 7603,Wessel,http://www.wikidata.org/entity/Q3443600,http://www.wikidata.org/entity/Q649747,1742,Johan Herman Wessel,Q3443600,Q649747
