,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,name
531,1299,PG1572,,Timaeus,Plato,-428,-348.0,['en'],938,"{'Classical literature', 'Cosmology -- Early works to 1800'}",,Timaeus,Plato,http://www.wikidata.org/entity/Q371884,http://www.wikidata.org/entity/Q859,-428,Plato,Q371884,Q859,Plato
532,1300,PG15744,,The Gay Lord Quex: A Comedy in Four Acts,"Pinero, Arthur Wing",1855,1934.0,['en'],17,"{'English drama -- 19th century', 'Comedies'}",,The Gay Lord Quex,Pinero,http://www.wikidata.org/entity/Q16385787,http://www.wikidata.org/entity/Q712073,1855,Arthur Wing Pinero,Q16385787,Q712073,Arthur Wing Pinero
533,1301,PG15766,,The Claverings,"Trollope, Anthony",1815,1882.0,['en'],108,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Fiction', 'Widows -- Fiction'}",,The Claverings,Trollope,http://www.wikidata.org/entity/Q7723316,http://www.wikidata.org/entity/Q318399,1815,Anthony Trollope,Q7723316,Q318399,Anthony Trollope
535,1303,PG15776,,The Economic Consequences of the Peace,"Keynes, John Maynard",1883,1946.0,['en'],555,"{'Economic history -- 1918-1945', 'Treaty of Versailles (1919 June 28)', 'World War, 1914-1918 -- Economic aspects'}",,The Economic Consequences of the Peace,Keynes,http://www.wikidata.org/entity/Q2299605,http://www.wikidata.org/entity/Q9317,1883,John Maynard Keynes,Q2299605,Q9317,John Maynard Keynes
536,1304,PG15779,,Joanna Godden,"Kaye-Smith, Sheila",1887,1956.0,['en'],29,"{'Women -- Fiction', 'Sussex (England) -- Fiction'}",,Joanna Godden,Kaye-Smith,http://www.wikidata.org/entity/Q42185470,http://www.wikidata.org/entity/Q4958416,1887,Sheila Kaye-Smith,Q42185470,Q4958416,Sheila Kaye-Smith
537,1305,PG15788,,"Waste: A Tragedy, In Four Acts","Granville-Barker, Harley",1877,1946.0,['en'],21,"{'Adultery -- Drama', ""Women's rights -- Drama"", 'Politicians -- Drama'}",,Waste,Granville-Barker,http://www.wikidata.org/entity/Q7972795,http://www.wikidata.org/entity/Q2043891,1877,Harley Granville-Barker,Q7972795,Q2043891,Harley Granville-Barker
538,1306,PG15795,,"The Rover Boys in Camp; or, The Rivals of Pine Island","Stratemeyer, Edward",1862,1930.0,['en'],21,"{'Brothers -- Juvenile fiction', 'Boys -- Conduct of life -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Military education -- Juvenile fiction'}",,The Rover Boys in Camp,Stratemeyer,http://www.wikidata.org/entity/Q19098275,http://www.wikidata.org/entity/Q1293795,1862,Edward Stratemeyer,Q19098275,Q1293795,Edward Stratemeyer
539,1307,PG1579,,Lysis,Plato,-428,-348.0,['en'],299,"{'Classical literature', 'Friendship -- Early works to 1800', 'Socrates, 470 BC-399 BC'}",,Lysis,Plato,http://www.wikidata.org/entity/Q924977,http://www.wikidata.org/entity/Q859,-428,Plato,Q924977,Q859,Plato
540,1308,PG157,,Daddy-Long-Legs,"Webster, Jean",1876,1916.0,['en'],523,"{'Love stories', 'Letters -- Fiction', 'Young women -- Fiction', 'Boarding schools -- Fiction', 'Women authors -- Fiction', 'Women college students -- Fiction', 'Orphans -- Fiction', 'Universities and colleges -- Fiction', 'Schools -- Fiction', 'Bildungsromans', 'Philanthropists -- Fiction', 'Epistolary fiction'}",,Daddy-Long-Legs,Webster,http://www.wikidata.org/entity/Q1156969,http://www.wikidata.org/entity/Q238140,1876,Jean Webster,Q1156969,Q238140,Jean Webster
541,1312,PG1580,,Charmides,Plato,-428,-348.0,['en'],302,"{'Knowledge, Theory of -- Early works to 1800', 'Classical literature', 'Socrates, 470 BC-399 BC', 'Temperance -- Early works to 1800', 'Ethics -- Early works to 1800'}",,Charmides,Plato,http://www.wikidata.org/entity/Q781206,http://www.wikidata.org/entity/Q859,-428,Plato,Q781206,Q859,Plato
543,1315,PG15837,,Jerusalem,"Lagerlöf, Selma",1858,1940.0,['en'],53,{'Swedish fiction -- Translations into English'},,Jerusalem,Lagerlöf,http://www.wikidata.org/entity/Q478463,http://www.wikidata.org/entity/Q44519,1858,Selma Lagerlöf,Q478463,Q44519,Selma Lagerlöf
544,1317,PG15843,,"Slippy McGee, Sometimes Known as the Butterfly Man","Oemler, Marie Conway",1879,1932.0,['en'],29,"{'South Carolina -- Fiction', 'Entomologists -- Fiction', 'Criminals -- Fiction', 'Priests -- Fiction', 'Amputees -- Fiction'}",,Slippy McGee,Oemler,http://www.wikidata.org/entity/Q99297065,http://www.wikidata.org/entity/Q96007487,1879,Marie Conway Oemler,Q99297065,Q96007487,Marie Conway Oemler
545,1318,PG15845,,Florante at Laura,"Balagtas, Francisco",1788,1862.0,['tl'],578,{'Tagalog poetry'},,Florante at Laura,Balagtas,http://www.wikidata.org/entity/Q5460489,http://www.wikidata.org/entity/Q983125,1788,Francisco Balagtas,Q5460489,Q983125,Francisco Balagtas
546,1319,PG1584,,Laches,Plato,-428,-348.0,['en'],206,"{'Courage -- Early works to 1800', 'Classical literature', 'Socrates, 470 BC-399 BC'}",,Laches,Plato,http://www.wikidata.org/entity/Q1243625,http://www.wikidata.org/entity/Q859,-428,Plato,Q1243625,Q859,Plato
547,1320,PG15850,,Iphigenia in Tauris,"Goethe, Johann Wolfgang von",1749,1832.0,['en'],272,{'Iphigenia (Mythological character) -- Drama'},,Iphigenia in Tauris,Goethe,http://www.wikidata.org/entity/Q475063,http://www.wikidata.org/entity/Q5879,1749,Johann Wolfgang von Goethe,Q475063,Q5879,Johann Wolfgang von Goethe
548,1321,PG15859,,The Piazza Tales,"Melville, Herman",1819,1891.0,['en'],1040,"{'Short stories', 'Manners and customs -- Fiction'}",,The Piazza Tales,Melville,http://www.wikidata.org/entity/Q7757032,http://www.wikidata.org/entity/Q4985,1819,Herman Melville,Q7757032,Q4985,Herman Melville
549,1323,PG1585,,The Wrong Box,"Osbourne, Lloyd",1868,1947.0,['en'],209,"{'Uncles -- Fiction', 'Mystery fiction', 'Brothers -- Fiction', 'Cousins -- Fiction', 'Avarice -- Fiction', 'Inheritance and succession -- Fiction'}",,The Wrong Box,Osbourne,http://www.wikidata.org/entity/Q3548866,http://www.wikidata.org/entity/Q1387643,1868,Lloyd Osbourne,Q3548866,Q1387643,Lloyd Osbourne
550,1324,PG15868,,"The Man Without a Country, and Other Tales","Hale, Edward Everett",1822,1909.0,['en'],336,"{'Soldiers -- Fiction', 'Burr Conspiracy, 1805-1807 -- Fiction', 'Sea stories', 'Stateless persons -- Fiction', 'Short stories, American', 'Historical fiction', 'Exiles -- Fiction'}",,The Man Without a Country,Hale,http://www.wikidata.org/entity/Q7750004,http://www.wikidata.org/entity/Q786616,1822,Edward Everett Hale,Q7750004,Q786616,Edward Everett Hale
551,1328,PG1586,,Man and Wife,"Collins, Wilkie",1824,1889.0,['en'],84,"{'Domestic fiction', 'Bigamy -- Fiction', 'England -- Fiction', 'Married women -- Fiction'}",,Man and Wife,Collins,http://www.wikidata.org/entity/Q16386863,http://www.wikidata.org/entity/Q210740,1824,Wilkie Collins,Q16386863,Q210740,Wilkie Collins
552,1329,PG1587,,The Black Robe,"Collins, Wilkie",1824,1889.0,['en'],99,"{'Dueling -- Fiction', 'Chastity, Vow of -- Fiction', 'Priesthood -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Murder -- Fiction'}",,The Black Robe,Collins,http://www.wikidata.org/entity/Q7718428,http://www.wikidata.org/entity/Q210740,1824,Wilkie Collins,Q7718428,Q210740,Wilkie Collins
