,id,title,language,downloads,book_QN,author_QN,authorLabel
2643,PG51553,Birds useful and birds harmful,['en'],18,Q51448383,Q662678,Ottó Herman
2644,PG51557,"The Colloquies of Edward Osborne, Citizen and Clothworker of London",['en'],17,Q112081365,Q4768592,Anne Manning
2645,PG51566,The Admirable Crichton,['en'],43,Q1248928,Q81796,J. M. Barrie
2646,PG5156,Beechcroft at Rockstone,['en'],41,Q124081773,Q433098,Charlotte Mary Yonge
2647,PG5157,"How I Found Livingstone: Travels, adventures, and discoveres in Central Africa, including an account of four months' residence with Dr. Livingstone, by Henry M. Stanley",['en'],259,Q2986148,Q171421,Henry Morton Stanley
2648,PG5161,The Treasure,['en'],43,Q497677,Q44519,Selma Lagerlöf
2649,PG5162,Agatha Webb,['en'],67,Q124092068,Q442130,Anna Katharine Green
2650,PG51644,The Vicissitudes of Evangeline,['en'],23,Q35275285,Q447240,Elinor Glyn
2651,PG5164,The Beetle: A Mystery,['en'],478,Q7716299,Q3431022,Richard Marsh
2652,PG51651,Conditionally Human,['en'],46,Q110462386,Q357839,Walter M. Miller
2653,PG516,The Silverado Squatters,['en'],90,Q3235628,Q1512,Robert Louis Stevenson
2654,PG5170,Poems of Experience,['en'],65,Q19038893,Q448376,Ella Wheeler Wilcox
2655,PG51712,A Trace of Memory,['en'],112,Q98101154,Q724395,Keith Laumer
2656,PG5174,Allan and the Holy Flower,['en'],96,Q4731051,Q237196,H. Rider Haggard
2657,PG517,The Emerald City of Oz,['en'],145,Q1250366,Q207544,L. Frank Baum
2658,PG5182,The Old English Baron: a Gothic Story,['en'],278,Q3796165,Q449489,Clara Reeve
2659,PG51845,Wolfbane,['en'],111,Q3795697,Q376859,Cyril M. Kornbluth
2660,PG51893,The Land of Little Rain,['en'],82,Q7745380,Q477999,Mary Hunter Austin
2661,PG518,The Enchanted Island of Yew: Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People,['en'],134,Q15032608,Q207544,L. Frank Baum
2662,PG5194,The Ivory Trail,['en'],40,Q81400594,Q344080,Talbot Mundy
2663,PG51950,The Prodigal Son,['en'],39,Q48775561,Q2331144,Hall Caine
2664,PG51967,"The Life and Adventures of Peter Wilkins, Complete (Volumes 1 and 2)",['en'],28,Q24929084,Q7348270,Robert Paltock
2665,PG51968,"The Life and Adventures of Peter Wilkins, Volume 2 (of 2)",['en'],36,Q24929084,Q7348270,Robert Paltock
2666,PG51995,Tanglewood Tales,['en'],85,Q7683049,Q69339,Nathaniel Hawthorne
2667,PG5199,"South: The Story of Shackleton's Last Expedition, 1914-1917",['en'],541,Q60284880,Q957543,Ernest Shackleton
2668,PG519,A Kidnapped Santa Claus,['en'],1206,Q4375085,Q207544,L. Frank Baum
2669,PG51,Anne of the Island,['en'],1761,Q1352419,Q273034,Lucy Maud Montgomery
2670,PG520,The Life and Adventures of Santa Claus,['en'],528,Q4180222,Q207544,L. Frank Baum
2671,PG52106,The Origin and Development of the Moral Ideas,['en'],67,Q7755345,Q722835,Edvard Westermarck
2672,PG52139,Uther and Igraine,['en'],54,Q19044503,Q2550081,Warwick Deeping
2673,PG52166,"The Case of Wagner: Complete Works, Volume 8",['en'],87,Q1193302,Q9358,Friedrich Nietzsche
2674,PG52176,Tik-Tok of Oz,['en'],213,Q7801858,Q207544,L. Frank Baum
2675,PG52183,Unser täglich Gift: Gedichte,['de'],13,Q19232058,Q2036789,Otfried Krzyzanowski
2676,PG52190,"Ecce Homo: Complete Works, Volume Seventeen",['en'],1342,Q861527,Q9358,Friedrich Nietzsche
2677,PG52217,"Young Hunters in Porto Rico; or, The Search for a Lost Treasure",['en'],21,Q19083613,Q1293795,Edward Stratemeyer
2678,PG52228,Search the Sky,['en'],159,Q3753772,Q376859,Cyril M. Kornbluth
2679,PG52243,Daughters of Belgravia; vol. 1 of 3,['en'],21,Q124082590,Q6929696,Mrs. Alexander Fraser
2680,PG52505,Daughters of Belgravia; vol. 2 of 3,['en'],45,Q124082590,Q6929696,Mrs. Alexander Fraser
2681,PG52606,Daughters of Belgravia; vol. 3 of 3,['en'],36,Q124082590,Q6929696,Mrs. Alexander Fraser
2682,PG5228,"Ayesha, the Return of She",['en'],132,Q2604590,Q237196,H. Rider Haggard
2683,PG5229,Felix O'Day,['en'],82,Q110064372,Q5481321,Francis Hopkinson Smith
2684,PG5230,The Invisible Man: A Grotesque Romance,['en'],3142,Q1539509,Q42511,H. G. Wells
2685,PG5231,The Way We Live Now,['en'],411,Q7773866,Q318399,Anthony Trollope
2686,PG52330,"Soll und Haben, Bd. 1 (2): Roman in sechs Büchern",['de'],42,Q111239614,Q58811,Gustav Freytag
2687,PG52402,The Princess Pourquoi,['en'],26,Q106425121,Q41584766,Margaret Pollock Sherwood
2688,PG52409,Visions & Cants,['ca'],272,Q16947486,Q562402,Joan Maragall
2689,PG52468,The Lower Depths: A Drama in Four Acts,['en'],366,Q1330429,Q12706,Maxim Gorky
2690,PG5247,The Old Wives' Tale,['en'],283,Q7754941,Q314158,Arnold Bennett
2691,PG524,Ann Veronica: A Modern Love Story,['en'],305,Q1247736,Q42511,H. G. Wells
2692,PG52501,The First Men in the Moon,['en'],239,Q1218232,Q42511,H. G. Wells
2693,PG5250,Nana,['fr'],148,Q1138346,Q504,Émile Zola
2694,PG52513,Notes of a naturalist in South America,['en'],160,Q51425207,Q957519,John Ball
2695,PG5257,The Broad Highway,['en'],55,Q7720216,Q6175761,Jeffery Farnol
2696,PG525,"Youth, a Narrative",['en'],629,Q1339248,Q82925,Joseph Conrad
2697,PG5265,The Ball and the Cross,['en'],264,Q3824160,Q183167,G. K. Chesterton
2698,PG5267,Sister Carrie,['en'],167,Q1286961,Q486096,Theodore Dreiser
2699,PG5273,Darwiniana; Essays and Reviews Pertaining to Darwinism,['en'],66,Q5226069,Q347356,Asa Gray
2700,PG527,The End of the Tether,['en'],182,Q17407121,Q82925,Joseph Conrad
2701,PG52851,A Little Bit of Fluff: A Farce in Three Acts,['en'],22,Q19870541,Q5709707,Walter W. Ellis
2702,PG52868,Japanese Homes and Their Surroundings,['en'],212,Q10316320,Q2519303,Edward S. Morse
2703,PG52869,On the Connexion of the Physical Sciences,['en'],86,Q23307984,Q268702,Mary Somerville
2704,PG528,"Joe the Hotel Boy; Or, Winning out by Pluck",['en'],83,Q19077293,Q453251,Horatio Alger
