,word,count
2988,Greatest,483
1616,Ocean,483
3649,Dangerous,483
2990,Hurried,482
17708,Que,481
791,Hideous,481
2569,Carpet,480
1855,Marked,480
981,Wondering,479
6073,England,479
1114,Lights,479
1547,Settled,478
46920,Rodvard,478
683,Due,478
330,Enormous,478
1262,Waste,478
1378,Stick,478
7474,Prisoner,478
1477,Drop,477
2732,Offer,477
20574,Dingaan,476
21101,Deem,475
2303,Prove,475
38445,Glinda,475
1644,Midst,475
5256,Dared,474
1314,Eaten,474
1906,Allow,474
3530,Delight,474
9605,Granite,473
7187,Proud,472
453,Center,471
972,Lonely,471
5745,Fat,470
772,Upward,470
2563,Proper,470
5576,Pushed,469
6340,Hoped,469
4095,Waves,469
21197,Macumazahn,469
7125,Suffered,469
1117,Twilight,468
9304,Bridge,468
1609,Altogether,468
989,Mystery,467
4619,Entire,466
6913,Cattle,466
1128,Larger,466
1928,Public,465
7220,Square,465
6430,Vain,465
1272,Calling,464
4091,March,464
1073,Doorway,464
1098,Closely,463
680,Surrounded,463
18155,Qui,462
4299,Loss,462
1202,Smooth,460
497,Access,460
1287,Listening,460
2920,Splendid,459
1556,Muttered,459
9594,Enemies,457
539,Mass,457
1991,Friendly,457
56686,Juanna,457
9949,Neb,457
3989,Rule,457
6825,Commanded,456
348,Vision,456
6620,Mate,456
5276,Fit,455
1754,Worked,455
9807,Kings,455
3613,Meanwhile,455
3185,Forgot,454
7724,Brow,454
8510,Prisoners,453
5540,Joined,453
615,Queer,453
9403,Leaned,453
811,Write,453
5299,Names,452
889,Stayed,452
1994,Crowd,452
6669,Ships,452
1411,Moonlight,452
663,Swift,451
5215,Worn,451
5289,Shame,450
21850,Spilett,449
7659,Nice,449
612,Paragraph,448
594,Curiosity,448
9340,Pool,448
61134,Tharn,447
5399,Meeting,446
5930,Sing,446
3842,Score,445
722,Dying,445
1371,Succeeded,444
1242,Thousands,444
2813,According,444
2054,Climbed,444
7640,Kingdom,443
30775,Betwixt,443
33193,Saduko,443
1041,Closer,443
6756,Colour,443
2774,Receive,443
5611,Events,443
3603,Sick,442
6624,Sail,441
1206,Careful,441
1080,Returning,441
2958,Fruit,441
4970,Slow,440
970,Perceived,438
4029,Admitted,438
1643,Existence,438
277,Extraordinary,437
7517,Strangers,437
2289,Serious,436
4939,Perchance,436
5377,Pride,436
3676,Metal,436
378,Gaze,436
10138,Ladies,436
4566,Interested,435
382,Movement,435
2304,Troubled,435
5375,Kiss,435
2479,Maybe,434
1832,Leg,434
4921,Desired,434
9526,Fought,434
1428,Awoke,434
2353,Content,433
2213,Forehead,433
6146,Bag,433
9776,Purple,433
13297,Hastily,432
571,Awhile,432
1456,Fully,432
11987,Guards,432
1584,Buried,432
1570,Excitement,431
985,Occupied,431
20571,Kraal,430
3579,Foolish,430
5253,Wept,430
5433,Bread,428
783,Possessed,428
1799,Driven,428
2474,Opinion,428
9802,Dance,428
2010,Chest,427
45213,Kabumpo,427
5074,Choose,427
45185,Ruggedo,427
1219,Explanation,427
1022,Removed,426
3702,Putting,426
7545,Wherein,426
528,Sufficient,426
1216,Yesterday,426
1851,Nigh,425
8022,Pair,425
6258,Orders,425
40434,Ojo,425
6968,Interesting,425
1953,Sigh,424
2871,Busy,424
677,Signs,424
17767,Vicar,422
1090,Noted,422
2612,Dreamed,422
5190,Dogs,422
6007,Wear,420
6878,Engaged,420
3710,Needed,420
3005,Complete,420
53300,Rhodes,419
5165,Professor,418
10871,Dwarf,418
1765,Blew,418
4892,Dress,418
1660,Action,417
5238,Marriage,417
4698,Eight,417
2543,Astonishment,417
1208,Relief,416
8238,Goodly,416
284,Bushes,415
475,Visible,414
9985,Boys,414
790,Sounded,414
4821,Vessel,413
6483,Worst,413
706,Flashed,412
2753,Destroy,412
38546,Hallblithe,411
2431,Share,411
1323,Burned,411
1963,Inner,411
53943,Girlie,410
1649,Screamed,410
11398,Gift,410
3227,Drank,410
12200,Goat,409
3132,Twelve,409
1816,Travel,409
695,Unable,408
2821,Cottage,408
921,Wandered,408
4936,Church,407
10469,Taught,407
53824,Elfland,407
1415,Coat,407
4075,Truly,406
1834,Weeks,406
1217,Weak,406
3597,Admit,406
465,Couple,405
6667,Adventures,404
6771,Whither,404
979,Ledge,404
1396,Approach,403
670,Evident,403
4343,Shield,403
2458,Liked,403
529,Silently,403
3503,Leaning,402
561,Reading,402
1491,Efforts,402
4763,Hanging,402
3125,Behold,401
5275,Swear,401
1187,Assured,401
5880,Judge,401
1769,Apart,401
965,Drove,400
2322,Climb,400
6255,Everyone,400
4194,Pause,400
157,Gardens,399
1977,Guide,399
5442,Lightly,399
2000,Hurry,398
4468,Robe,398
3620,Plenty,398
469,Period,397
5254,Playing,397
4093,Rolling,396
2502,Wet,396
703,Support,396
